# name                      ra                dec               has_spec  
  Gaia6686787858195402368   299.7355997423    -42.37513974626   true      
  Gaia5377699487288245632   177.37876738135   -46.18497453495   true      
  Gaia948402927272355456    108.9297170275    40.54987699429    true      
  Gaia5754156325710961152   131.18429926469   -6.95207994517    true      
  Gaia4601891019092090240   262.5312632936    32.80278369123    true      
  Gaia6437683736460382208   277.57059964937   -64.67627305304   true      
  Gaia6715612620667424256   286.43273384655   -41.96936643996   true      
  Gaia1818332683179500416   308.04819461735   20.95676407052    true      
  Gaia2952182127809962752   100.9816544298    -14.07747191928   true      
  Gaia4610123135666565888   271.34884073516   38.27497857067    true      
  Gaia5025530001710969216   27.74124713798    -26.74734120123   true      
  Gaia2107379717293290112   284.83489035586   46.96070824128    true      
  Gaia3164140924231041536   114.40618062018   13.18852608289    true      
  Gaia4056547996364312576   268.3004584037    -29.55202705875   true      
  Gaia5264717825642117632   91.58675757383    -75.03162456718   true      
  Gaia5975764715357687168   262.06418158687   -34.89798301858   true      
  Gaia4546328989985638272   255.78011582784   16.36080977188    true      
  Gaia2911636498364412544   92.8939734131     -26.53404702147   true      
  Gaia2397506686577022208   342.0895104635    -21.43163847217   true      
  Gaia1680516562853671424   189.17274588642   65.91171820396    true      
  Gaia4055471746278938112   264.529896974     -30.32378711081   true      
  Gaia4055476522282697088   264.29469751876   -30.3713303536    true      
  Gaia1866689578231351552   314.46226507899   34.81663603153    true      
  Gaia1918881715865950976   353.95270678615   37.35038513784    true      
  Gaia4032763635683899264   176.12446197934   36.88572685739    false     
  Gaia338514242643243136    38.99017310743    41.64432297842    true      
  Gaia1387859621608101248   233.39923502969   38.7170125512     true      
  Gaia6086464920435928960   196.43176378633   -46.04530857071   true      
  Gaia2100437095935480448   286.52729600682   39.13526015441    true      
  Gaia1646748494885130240   240.88166028209   69.02713428655    true      
  Gaia365225327155159808    8.74430944724     34.55476806458    true      
  Gaia763275719257657088    166.17520313193   37.93747217059    true      
  Gaia6880646876460438528   302.8759453945    -11.59904913607   true      
  Gaia4062603522291785984   268.85878504536   -28.8240163865    true      
  Gaia4062582494124065152   269.40301477417   -28.72915457813   true      
  Gaia6203161445309172352   222.3692122283    -35.23836197873   true      
  Gaia3135582587167217024   113.44540256327   3.01952943479     true      
  Gaia844742349691284480    173.40580351597   55.59119175031    true      
  Gaia4062625546899464704   268.95683931506   -28.57718789879   true      
  Gaia1176642132241916160   214.71278623562   8.8744801576      true      
  Gaia5946740735118874752   264.37804780283   -50.19378689957   true      
  Gaia2891991940724694144   97.22621580616    -33.13412160154   true      
  Gaia4584303647709887360   270.87388306052   28.77474561285    true      
  Gaia6229245400173701120   224.65973480873   -24.49393702448   true      
  Gaia649717574227355520    122.13843277509   11.26872306547    true      
  Gaia1149077066496446976   121.06350606929   83.51204390968    true      
  Gaia5449258177918458752   157.79028366096   -30.75902484041   true      
  Gaia3693248253345769728   185.03350404708   -3.82888612894    true      
  Gaia4637867726748762112   18.95527511885    -75.94805950066   true      
  Gaia5365880493202666752   155.87793510052   -46.01847094414   true      
  Gaia5569774096953598464   99.32685048287    -41.18427690959   true      
  Gaia5347584482288968064   167.80134913171   -53.05447886567   true      
  Gaia1055595106138536064   166.89824273133   64.33574234066    true      
  Gaia1120878063578066304   144.45372179429   73.0328000015     true      
  Gaia4752237178218107264   42.04748657568    -48.07194791619   true      
  Gaia6490698892912663168   348.27632079403   -60.02318435669   true      
  Gaia5729601344844925056   136.83658020161   -16.55514680138   true      
  Gaia6692034796403525376   298.9224010572    -37.02211678995   true      
  Gaia6695150636260854784   306.31321856872   -36.12800609973   true      
  Gaia1584436323376181376   182.01110045059   63.05799574504    true      
  Gaia6169368853078410752   202.48988631247   -32.76186774885   true      
  Gaia5378805802138793984   174.25312837087   -44.78707344782   true      
  Gaia5451907107586817664   165.11930656181   -31.83312874503   true      
  Gaia6680789747387853312   307.48334134965   -39.72890284263   true      
  Gaia3651452139881949440   221.31195295643   -0.39948941661    true      
  Gaia6177280006742838912   209.5621705828    -28.10298598307   true      
  Gaia4832424286353768320   55.58865023074    -50.43786453213   true      
  Gaia6520439960890220544   336.48215545815   -45.25134791135   true      
  Gaia6101070214423844864   222.59461491254   -41.63713378235   true      
  Gaia4752839293977064960   39.57656882373    -47.60831771255   true      
  Gaia6137674880652988672   197.61272142086   -41.50151272099   true      
  Gaia6494588002978860032   356.59539738458   -58.61932116444   true      
  Gaia6176690290552783488   208.16667501734   -29.83250464038   true      
  Gaia6157664998477408128   187.3082579695    -36.01639170995   true      
  Gaia2301713660153051392   288.67606129298   82.65617090474    true      
  Gaia1606956176939190656   218.75226200705   53.99827121308    true      
  Gaia6652777932026709504   275.38759294107   -54.00796930132   true      
  Gaia6513449678277443328   341.4956915318    -51.56217207641   true      
  Gaia5495521194807018240   90.39269375345    -58.6993172886    true      
  Gaia6697831662221245184   301.7411302793    -35.1508096614    true      
  Gaia3581544537753558656   181.66140015964   -10.15897654124   true      
  Gaia3115040308348775680   108.70960113191   2.45483164166     true      
  Gaia6462453057670577152   325.2822008452    -52.51093885384   true      
  Gaia6677341296670496128   314.87379723314   -41.73832150766   true      
  Gaia2325563574892117888   354.53300079199   -32.31822779138   true      
  Gaia5560574689321675136   110.57764169192   -42.10130856916   true      
  Gaia50755930639724800     57.18969823627    18.78581484744    true      
  Gaia1405758704540137984   249.67296693066   43.949207674      true      
  Gaia5732162034412560000   137.5152701392    -14.35172743151   true      
  Gaia1890200336579001728   343.26339761347   32.8796939535     true      
  Gaia347178153750638336    24.75362838496    40.6119990217     true      
  Gaia4650326331666404224   83.04348219491    -73.95619085282   false     
  Gaia1138818657370170112   116.31519868692   79.22008517824    true      
  Gaia4893406637204596352   70.63086106707    -25.67741735165   true      
  Gaia5177176329040832000   38.65766377858    -8.78780081466    true      
  Gaia1145300312775086720   131.77274862411   81.56716349291    true      
  Gaia2924328607759839744   96.02747888919    -24.61616547829   true      
