name ra dec
Gaia961254843811915904 91.04117335193 42.85477227238
Gaia5711830488172162048 116.7177982025 -22.08432476433
Gaia5933000580689024896 243.11951248459 -53.87282835534
Gaia3123688070381308160 95.43393357391 1.44861177751
Gaia1149077066496446976 121.06350606929 83.51204390968
Gaia2952182127809962752 100.9816544298 -14.07747191928
Gaia3128784551591208960 105.95026364686 5.41020002985
Gaia5177176329040832000 38.65766377858 -8.78780081466
Gaia3115040308348775680 108.70960113191 2.45483164166
Gaia5718005822205064832 119.35283144721 -17.41108598764
Gaia3135582587167217024 113.44540256327 3.01952943479
Gaia1818332683179500416 308.04819461735 20.95676407052
Gaia4661579661392383744 73.28692979776 -68.2106013317
Gaia3036030987623296896 119.87985517261 -12.7567119482
Gaia2972012094891415168 85.09607752136 -15.71921553496
Gaia5210440227979225216 123.44180459357 -76.76010229698
Gaia2112069138681324416 276.83882718193 43.84939393347
Gaia4658058299293637120 82.10086795815 -69.13209726455
Gaia2100437095935480448 286.52729600682 39.13526015441
Gaia6113061449576569856 203.5935264274 -40.65714592463
Gaia4055471746278938112 264.529896974 -30.32378711081
Gaia4062905613176959872 270.85404532785 -27.8810343148
Gaia4683996259622700032 7.81444872123 -76.57565847152
Gaia2809786296741042432 10.78367626368 28.14977648895
Gaia3349734196330806784 89.55172972765 16.8123910101
Gaia4069926544596838912 270.5956453657 -22.11847911818
Gaia5025530001710969216 27.74124713798 -26.74734120123
Gaia4062327162686193536 269.78369310547 -29.42057919395
Gaia3224349184535074816 83.88503888541 3.4814018697
Gaia6101070214423844864 222.59461491254 -41.63713378235
Gaia4720801728462872320 48.42337297446 -62.83817218387
Gaia763275719257657088 166.17520313193 37.93747217059
Gaia999504757398279552 92.35439968345 59.25527622878
Gaia4069400664512106368 269.53242402947 -23.02533035992
Gaia2958753427770196096 81.68456973971 -22.85114080732
Gaia2219889928962617472 335.27896933935 67.68951734414
Gaia2808464030929705984 11.8524523038 26.60557248933
Gaia5696132657579193216 126.30730435301 -24.47157733339
Gaia6319785857688692224 226.47037617933 -10.01252520862
Gaia5823857082245453952 233.44011326284 -66.52813541281
Gaia5449258177918458752 157.79028366096 -30.75902484041
Gaia942696427565176320 96.64526764606 35.43362379648
Gaia5022809054029691648 24.7160723595 -30.20474189126
Gaia6437683736460382208 277.57059964937 -64.67627305304
Gaia1936583711336558848 349.4997297196 42.30272432
Gaia4764835966565134208 89.26067187088 -59.98561899269
Gaia5473305115692154624 152.40253679105 -24.94094042801
Gaia2360796261068411264 6.78520453361 -21.82211813961
Gaia5824413332056266752 227.74913079307 -66.74814426922
Gaia5975764715357687168 262.06418158687 -34.89798301858
